proteinA_entrezid,proteinB_entrezid,databases
5523,9859,bioplex
8467,25920,pina|APID|intact
4673,27185,intact
4609,4780,encode|inweb|HIPPIE|HINT-complex
3281,81851,intact|hiunion
8048,8550,KinomeNetX
4801,79641,encode
10097,10733,PhosphoSP
9079,55017,intact|hiunion
5566,5663,signalink
6597,7171,encode
226,2335,instruct|APID|intact|litbm17|pina
11059,23111,instruct|APID|biogrid|HIPPIE|litbm17|inweb|bioplex|HINT-complex
6597,129025,encode
983,4613,inweb
8027,57552,bioplex
1869,51444,encode
7316,51676,HINT-binary|inweb|HINT-complex
10426,653784,qubic
2774,27159,bioplex|HIPPIE
1671,29978,intact|hiunion
25852,51073,bioplex|HIPPIE
9317,56654,bioplex|HIPPIE
6139,6210,HINT-binary|HIPPIE|CoFrac
5594,5594,interactome3d|PhosphoSP|instruct|HINT-binary|insider
3172,51292,encode
8908,58505,bioplex
5886,54754,hiunion
5987,254187,instruct|hiunion|APID|biogrid|HINT-binary|intact
6128,6175,HINT-binary|HIPPIE|CoFrac
7132,53373,bioplex
2067,85015,instruct|APID|biogrid|HIPPIE|HINT-binary|litbm17|inweb
2305,286826,inweb
2114,6774,encode
2033,10654,encode
2516,10891,interactome3d|insider|instruct
10179,11258,qubic
3895,23521,qubic
23170,51633,qubic
8454,26270,innatedb|HIPPIE|HINT-binary|inweb|bioplex|HINT-complex
4824,5002,intact|hiunion
8533,10980,interactome3d|innatedb|HINT-binary|inweb|bioplex|CoFrac|HINT-complex
8968,8968,HINT-binary|instruct|interactome3d|HINT-complex
54947,345275,hiunion
3068,6722,encode
8630,83940,bioplex|HIPPIE
5879,57531,HINT-binary|inweb|HIPPIE|HINT-complex
5901,9636,innatedb
2885,6850,inweb|HIPPIE|HINT-complex
2185,2597,KinomeNetX
23412,29099,bioplex|HIPPIE|HINT-complex
7316,9638,inweb
64129,101060226,hiunion
9131,155185,bioplex
2235,23277,bioplex
7088,10736,APID|bioplex|inweb
6310,6988,instruct|APID|biogrid|HINT-binary|intact|pina
3164,9557,APID|intact|biogrid|instruct
23035,64854,bioplex|HIPPIE|HINT-complex
83902,353144,intact|hiunion
7316,23471,inweb
1154,2033,signalink
1051,11209,encode
7913,8449,intact
9798,29882,inweb
56104,285315,bioplex
4800,4904,encode
975,9601,inweb
7529,200186,instruct|HIPPIE|HINT-binary|inweb|HINT-complex
5698,8648,mint|APID|intact|litbm17
8976,10298,PhosphoSP
905,5577,encode
2074,8661,qubic
491,6640,innatedb
4904,8772,signalink
7111,55200,bioplex
1454,1460,APID|biogrid
1558,79890,instruct|APID|biogrid|HINT-binary|intact
48,26112,APID|intact|instruct
331,9113,inweb
5573,11131,instruct|APID|biogrid|HINT-binary|intact|pina
8974,10574,bioplex
2801,54540,instruct|hiunion|APID|biogrid|HINT-binary
5664,7316,inweb
6157,10399,CoFrac
8655,23376,qubic
4606,202333,APID|intact|instruct
5916,6182,instruct|APID|biogrid|HINT-binary|intact
1525,9611,pina|APID|biogrid|inweb
4800,26271,encode
4286,5594,PhosphoSP|KinomeNetX
7037,128866,qubic
10540,65108,APID|inweb|biogrid|HIPPIE
9463,221424,intact|hiunion
353142,440021,intact|hiunion
9443,9862,inweb|bioplex|HIPPIE
7046,57154,inweb|HIPPIE|HINT-complex
2113,27347,signalink
4629,9126,intact
2908,255403,encode
6657,22875,bioplex|HIPPIE
648,5604,biogrid
1937,6596,pina|APID|instruct
6133,8470,pina|APID|biogrid|instruct
5795,8314,instruct|APID|biogrid|HINT-binary|intact|mint
3299,54915,hiunion
7528,286451,encode
5739,9213,bioplex
5660,7307,CoFrac
1967,284369,bioplex
162427,222642,intact|hiunion
622,3598,bioplex
26751,54206,APID|biogrid
1616,2495,instruct|APID|biogrid|HIPPIE|HINT-binary|intact|litbm17|inweb
2264,157638,instruct|APID|biogrid|HINT-binary|intact|mint
3052,79066,bioplex|HIPPIE
9821,27185,intact
6774,92565,encode
8831,10133,pina|APID|intact
946,6925,instruct|hiunion|APID|biogrid|HINT-binary|intact
1432,5608,interactome3d|PhosphoSP|instruct|innatedb|signalink|HIPPIE|biogrid|KinomeNetX|HINT-binary|insider|inweb|HINT-complex
7549,92856,bioplex
51564,63035,inweb
9859,81610,qubic
10009,51755,encode
3549,3728,signalink
2959,554226,encode
64518,83896,intact|hiunion
64769,255626,bioplex|HIPPIE
6629,9240,instruct|hiunion|APID|biogrid|HIPPIE|HINT-binary|intact
2534,11183,APID|intact|instruct
908,22884,bioplex|HIPPIE
580,2286,APID|biogrid
5914,8795,inweb
1022,55796,KinomeNetX
7316,89941,bioplex|inweb
4654,22933,inweb
5663,55156,signalink
10438,55596,bioplex
2113,22898,signalink
506,222484,APID|biogrid|instruct|hiunion
1108,3066,HIPPIE|HINT-binary|inweb|CoFrac|HINT-complex
